canonical_smiles,target,exists_on_pubchem,exists_on_chembl,EC50_uM,IC50_uM,Ki_uM,Kd_uM,AC50_uM
C,JAK1,True,True,,,,,
Cc1nc2cnc3[nH]ccc3c2n1C1CC1,JAK1,True,False,,,,,
CC,JAK1,True,True,,,,,
CCCC#N,JAK1,True,False,,,,,
CCC#N,JAK1,True,True,,,,,
CN,JAK1,True,True,,,,,
N#CCCN,JAK1,True,True,,,,,
N,JAK1,True,True,,,,,
N#CCCN1CCC(n2c(C3CCOCC3)nc3cnc4[nH]ccc4c32)CC1,JAK1,True,False,,,,,
CC(C)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,JAK1,True,False,,,,,
CC(=O)NCc1nc2cnc3[nH]ccc3c2n1C1CCNCC1,JAK1,True,False,,,,,
CC(C)N1CCC(n2cnc3cnc4[nH]ccc4c32)CC1,JAK1,True,False,,,,,
Cc1nc2cnc3[nH]ccc3c2n1C1CCCOC1,JAK1,True,False,,,,,
O,JAK1,True,True,,,,,
Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,JAK1,True,True,,0.0017,0.00020999999999999998,,
COc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2cccnc12,JAK1,True,True,,0.025,0.00057,,
CCN,JAK1,True,True,,,,,
C=O,JAK1,True,True,,,,,
O=C(Nc1cn(CC(=O)N2CCC(N3CCOCC3)CC2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,JAK1,True,True,,,0.00038,,
CCOC(=O)Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,JAK1,True,False,,,,,
CC1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,JAK1,True,False,,,,,
N#CCCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,JAK1,True,False,,,,,
N#CCCCN,JAK1,True,False,,,,,
C#N,JAK1,True,True,,,,,
CC#N,JAK1,True,True,,,,,
CC(N)=O,JAK1,True,True,,,,,
Cc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2cccnc12,JAK1,True,True,,,,,
CCC,JAK1,True,True,,,,,
CS,JAK1,True,False,,,,,
CO,JAK1,True,True,,,,,
CN1CCCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CCC1,JAK1,True,False,,,,,
O=C(Nc1cn(CC(=O)N2CCCNCC2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,JAK1,True,False,,,,,
Cc1nc2cnc3[nH]ccc3c2n1C1CCCNC1,JAK1,True,False,,,,,
