canonical_smiles,target,exists_on_pubchem,exists_on_chembl,EC50_uM,IC50_uM,Ki_uM,Kd_uM,AC50_uM
NC(=O)Nc1ccc2c(c1)[nH]c1ccccc12,PIM1,True,True,,,,,
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(Cl)c(N3CCCC(N)C3)n2)n1,PIM1,True,False,,,,,
Cn1cc(-c2cc3c(-c4cccc(N5CCC[C@H](N)C5)n4)n[nH]c3cn2)cn1,PIM1,False,True,,,5.9999999999999995e-05,,
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CC[C@H](N)C3)n2)n1,PIM1,False,True,,0.546,0.000773,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1[C@@H]1CC[C@@H](N)[C@H](F)CO1,PIM1,False,True,,,3.42e-06,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCC1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCCC1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCC(N)CC1,PIM1,True,True,,,2.7e-05,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(N)CC1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3cc(F)ccc3F)sc2N)c1N1CCCC(N)CC1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3ccc(F)cc3F)sc2N)c1N1CCCC(N)CC1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(O)C(O)CC1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2csc(-c3cccc(F)c3F)n2)c1[C@@H]1CC[C@@H](N)[C@H](F)CO1,PIM1,False,True,,,4.4e-05,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC[C@@H](N)CC1,PIM1,False,True,,,2.4e-05,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC[C@H](N)CC1,PIM1,False,True,,,2e-05,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCC(F)(F)C1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCC(F)C1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCC(N)C1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(F)CC1,PIM1,True,False,,,,,
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(N)C1,PIM1,True,False,,,,,
Cn1cc(-c2cc3c(-c4cccc(N5CCC(N)C5)n4)n[nH]c3cn2)cn1,PIM1,True,False,,,,,
Cn1cc(-c2cc3c(-c4cccc(N5CCCC(N)C5)n4)n[nH]c3cn2)cn1,PIM1,True,False,,,,,
Cn1cc(-c2cc3c(-c4cccc(N5CCCCCC5)n4)n[nH]c3cn2)cn1,PIM1,True,False,,,,,
CCn1cc(-c2cc3c(-c4cccc(N5CCNC(C)C5)n4)n[nH]c3cn2)cn1,PIM1,True,False,,,,,
