canonical_smiles,target,exists_on_pubchem,exists_on_chembl,EC50_uM,IC50_uM,Ki_uM,Kd_uM,AC50_uM
C,PPAR,True,True,,,,,
Cc1cc(OCc2nc(-c3ccc(OC(F)(F)F)cc3)c(-c3ccc(OC(F)(F)F)cc3)s2)ccc1OCC(=O)O,PPAR,True,False,,,,,
COc1ccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)sc2-c2ccc(OC(C)C)cc2)cc1,PPAR,True,False,,,,,
CC,PPAR,True,True,,,,,
CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,PPAR,True,True,0.02512,0.05012,,,
CO,PPAR,True,True,,,,,
Cc1cc(OCCc2nc(-c3ccc(OC(F)(F)F)cc3)ns2)ccc1OC(C)(C)C(=O)O,PPAR,True,False,,,,,
COc1cccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)sc2-c2ccc(C(F)(F)F)cc2)c1,PPAR,True,False,,,,,
CCC,PPAR,True,True,,,,,
CCCC,PPAR,True,True,,,,,
Cc1cc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(-c3cccc(C(F)(F)F)c3)s2)ccc1OCC(=O)O,PPAR,True,False,,,,,
COc1cccc(-c2csc(COc3ccc(OCC(=O)O)c(C)c3)n2)c1,PPAR,True,False,,,,,
CCC(Cc1ccc(OC)c(CNC(=O)c2ccc(C(F)(F)F)cc2)c1)C(=O)O,PPAR,True,True,0.12,,,,
Cc1ccc(-c2nsc(CSc3ccc(OC(C)(C)C(=O)O)c(C)c3)n2)cc1,PPAR,True,False,,,,,
COc1ccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)sc2-c2cccc(OC(F)(F)F)c2)cc1,PPAR,True,False,,,,,
CC(=O)O,PPAR,True,True,,,,,
O,PPAR,True,True,,,,,
