Unnamed: 0,mol_id,STRIPES,pKi,smiles,can_smiles
0,1,[BC(t)].C(e).[BC(t)].[BC(t)].C(e).[C(e)P(t)].C(e).C(e).C(e).C(e).C(e);[C(t)H(a1)].[C(e)H(a2)].[C(t)H(a2)].[C(t)H(a3)].[C(e)H(a2)].[C(e)H(a3)].[C(e)H(a3)].[C(e)H(a2)].[C(e)H(a2)].[C(e)H(a2)].[C(e)H(a2)];[C(t)H(a2)].[C(e)H(a2)].[C(t)H(a1)].[C(t)H(a1)].[C(e)H(a1)].[C(e)H(a1)].[C(e)H(a2)].[C(e)H(a1)].[C(e)H(a1)].[C(e)H(a2)].[C(e)H(a1)];[BC(t)].C(e).[BC(t)].[BC(t)].[BC(e)].[BC(e)].[BC(e)].[BC(e)].C(e).C(e).C(e);[BC(t)].[BC(e)].[BC(t)].[BC(t)].[BC(e)].[BC(e)].[BC(e)].[BC(e)].[BC(e)].B.[BC(e)];B.B.[BC(t)].B.B.B.-.B.B.B.B;B.B.[BC(t)].-.B.B.B.B.-.B.-;B.[BC(t)].[BC(t)].[BC(e)].[BC(t)].B.B.B.B.-.C(t);C(t).C(e).C(t).C(t).C(e).C(e).C(e).C(e).C(e).C(e).C(e);[BP(f)].[BP(f)].[BP(o)].[BP(f)].[BP(o)].[BP(f)].[BP(f)].[BP(f)].[BP(o)].P(f).P(o);[BP(f)].[BP(f)].[BP(o)].[BP(f)].[BP(f)].[BP(f)].[BP(f)].[BP(f)].[BP(o)].[BP(f)].[BP(o)];[BP(f)].[BP(f)].[BP(o)].[BP(f)].[BP(f)].[BP(f)].[BP(f)].[BP(f)].[BP(o)].[BP(f)].[BP(o)];[BC(t)P(f)].[BP(f)].[BP(o)].[BP(f)].[BP(o)].[BP(f)].[BP(f)].[BP(f)].[BP(o)].[BP(o)].[BP(o)];[BC(e)P(o)].[BC(e)P(o)].[BC(t)P(o)].[BP(o)].[BC(e)P(o)].[BP(t)].[BP(t)].[BC(e)P(t)].[C(e)P(o)].[C(e)P(t)].P(o);[C(p)P(f)].[BP(o)].[BP(o)].[BP(o)].[BP(o)].[BP(f)].[BP(f)].[BP(f)].[BP(o)].[BP(o)].[BP(o)];-.-.-.-.-.-.-.-.-.-.-;B.-.B.-.B.-.B.B.B.-.B;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.H(d3).-.-.-.-.-;B.-.-.-.-.-.-.B.-.-.-;B.-.B.B.-.B.B.B.B.B.-;B.B.B.B.-.B.B.B.B.-.B;-.B.B.B.B.B.-.-.-.-.B;-.B.B.B.B.B.B.B.-.B.-;-.B.B.B.-.-.B.B.-.-.B;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,7.958607314841775,FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCCC4)cn23)c1,FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCCC4)cn23)c1
1,2,-.B.-.B.B.B.B.-.-.-.-;-.B.B.-.-.-.B.-.-.B.-;B.B.B.-.B.-.B.B.-.B.-;B.B.B.-.[BC(p)].B.-.B.-.B.B;B.B.-.B.[BC(t)].B.-.B.-.B.B;H(d3).-.-.-.C(p).-.-.-.-.C(p).C(t);B.B.B.B.C(p).-.B.B.-.B.[BC(t)];-.-.-.-.-.-.-.-.-.-.H(a2);-.-.B.B.[BC(p)].B.-.B.-.-.B;B.-.-.B.-.-.-.-.B.-.-;B.-.-.B.C(p).-.B.-.B.B.-;B.-.B.-.-.-.B.B.B.-.B;-.-.-.B.-.-.-.-.-.-.-;B.B.B.-.B.B.B.B.B.-.B;P(t).-.[BP(t)].-.[BP(t)].B.[BP(t)].B.-.-.-;[BP(t)].-.[BP(t)].-.[BP(t)].B.[BP(t)].[BP(t)].P(t).B.[BP(t)];[BP(t)].B.[BP(t)].B.[BP(t)].B.[BP(t)].[BP(t)].[BP(t)].-.[BP(t)];[BP(t)].B.B.B.B.B.B.B.B.B.B;B.B.-.B.B.B.-.B.-.-.B;[BS(+)].S(+).S(+).S(+).S(+).S(+).S(+).[BS(+)].S(+).S(+).[BS(+)];-.-.-.-.-.-.-.-.-.H(a2).-;H(d1).H(d2).H(d1).H(d1).H(d1).H(d1).H(d1).H(d2).H(d1).H(d1).H(d1);-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,5.346787486224656,Cc1ccc2[nH]c(=O)c(CC(=O)O)c(-c3ccccc3)c2c1,Cc1ccc2[nH]c(=O)c(CC(=O)O)c(-c3ccccc3)c2c1
2,3,-.H(d2).H(d2).H(d2).H(d2).H(d1).H(d2).H(d2).H(d2).H(d2).-;B.-.-.[C(p)P(o)].-.-.-.-.B.-.-;-.-.-.P(o).-.-.-.-.-.-.-;P(o).-.-.[BP(o)].-.-.-.-.-.-.-;-.B.-.P(o).-.-.-.-.-.-.-;B.B.B.P(o).B.-.B.-.-.B.-;[BP(o)].[BP(o)].P(t).[BP(o)].P(t).[BP(t)].P(t).-.-.[BP(t)].-;[BC(t)P(t)].P(f).[BP(o)].[BP(o)].[BP(t)].[BP(t)].P(t).P(t).B.[BP(t)].-;[BC(t)P(o)].[BC(e)P(f)].[BP(o)].P(o).[BP(t)].P(t).-.[BP(t)].-.[BP(t)].-;[BC(t)P(o)].[BC(e)P(f)].[BP(o)].P(o).[BP(t)].P(t).-.P(t).-.[BP(t)].-;H(a2).H(a3).-.-.-.-.-.-.-.-.-;[BC(t)P(o)].[BP(f)].[BP(f)].P(o).P(t).P(t).-.-.-.P(t).B;[BC(t)P(t)].[BP(f)].P(f).[BP(o)].P(t).P(t).P(t).-.-.P(t).B;H(d1).-.H(d2).-.-.-.-.-.-.-.-;B.B.B.B.-.B.B.B.B.B.-;B.B.-.-.B.B.B.B.-.B.-;B.-.B.-.B.-.B.-.-.B.-;B.-.-.-.-.-.B.-.B.B.-;B.-.-.B.B.-.B.-.B.B.B;B.-.B.B.-.-.B.-.B.B.B;-.-.-.-.-.-.-.-.-.-.-;B.B.B.-.-.-.B.B.-.B.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,5.468521082957745,O=C(O)c1cccc(Nc2nc(-c3ccc(O)cc3O)cs2)c1,O=C(O)c1cccc(Nc2nc(-c3ccc(O)cc3O)cs2)c1
3,4,B.B.B.-.-.B.B.B.B.B.-;B.B.B.-.B.B.B.-.B.-.-;B.B.B.B.B.B.B.B.B.B.B;B.B.B.B.B.B.B.B.B.B.-;B.B.-.-.B.-.B.B.-.B.-;-.-.-.-.-.-.B.-.-.-.-;B.B.-.-.-.-.-.-.-.B.-;-.-.-.-.-.-.-.-.-.-.-;B.B.B.-.-.-.B.-.-.-.-;-.-.-.-.B.-.C(t).C(t).C(p).C(t).-;B.-.-.B.B.B.C(t).C(t).[BC(p)].C(t).B;-.C(p).[BC(p)].-.B.B.C(t).[BC(t)].[BC(p)].[BC(t)].[BC(p)];B.[BC(p)].[BC(p)].-.B.-.[BC(t)].[BC(t)].[BC(p)].[BC(t)].[BC(p)];B.[BC(p)].[BC(p)].B.B.B.[BC(t)].[BC(t)].[BC(p)].[BC(t)].[BC(p)];B.B.B.B.B.B.[BC(t)].[BC(t)].[BC(p)].[BC(t)].[BC(p)];[BP(t)].-.-.-.-.-.-.-.-.-.-;[BP(t)].-.-.B.P(t).-.B.-.-.B.-;[BP(t)].-.[BP(o)].-.[BP(t)].P(t).B.B.-.B.-;P(t).-.[BP(o)].B.P(t).P(t).-.-.B.B.B;P(t).-.[BP(o)].-.-.[BP(t)].-.-.B.-.B;B.B.[BP(t)].-.-.B.-.-.B.B.B;H(a2).H(a2).H(a2).H(a2).H(a2).-.-.-.-.-.-;-.-.B.-.-.B.B.B.-.-.-;H(a1).-.-.H(a3).-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,6.259637310505756,O=C(O)c1cccc2c(-c3ccccc3)c(-c3ccccc3)[nH]c12,O=C(O)c1cccc2c(-c3ccccc3)c(-c3ccccc3)[nH]c12
4,5,-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;-.-.-.-.H(d3).-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.B;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.B.B.-.B.-.B.B.-.-.-;B.B.B.-.B.-.-.B.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.B.-.-.-.B.-.B.B.-.-;B.B.B.B.B.B.B.B.B.B.B;-.B.B.B.B.B.B.-.B.B.-;B.B.-.-.B.B.-.B.-.-.B;-.-.-.B.B.-.-.-.B.-.-;B.-.B.B.B.B.-.B.B.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;B.B.-.-.-.-.B.B.-.B.B;B.B.B.-.-.-.-.-.-.-.B;B.B.B.B.-.B.B.B.B.-.B;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.B.-.-;B.-.-.-.-.-.-.-.-.B.-;B.-.-.-.B.-.-.B.-.-.B;B.-.-.-.B.B.-.-.B.B.-;B.-.-.B.-.-.B.-.B.-.-;B.-.-.-.-.-.-.-.-.-.B;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,5.6777807052660805,CCc1ccc(C2C(C(C)=O)=C(O)C(=O)N2CCc2c[nH]c3ccccc23)cc1,CCc1ccc(C2C(C(C)=O)=C(O)C(=O)N2CCc2c[nH]c3ccccc23)cc1
5,6,-.-.-.-.B.-.-.-.-.-.-;B.-.-.B.B.-.B.B.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.B.B.-.-.-.B.B.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.B.B.-;-.-.-.-.-.-.-.B.B.B.-;-.B.B.B.-.-.-.B.-.B.B;H(a2).H(d1).H(d2).H(d1).H(d1).H(d2).H(d2).-.-.-.H(d1);B.B.B.B.B.B.B.B.B.B.B;B.B.B.-.-.-.B.B.B.-.-;B.B.-.-.B.-.B.-.B.B.B;-.-.-.-.-.-.-.-.-.-.B;-.-.-.-.-.-.-.-.-.-.-;B.B.-.-.B.-.B.B.-.-.B;B.B.B.B.B.-.B.-.B.-.-;B.-.-.-.-.-.-.-.B.-.-;B.-.-.-.B.-.-.-.B.B.-;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.B.-.-;B.-.-.B.-.-.-.-.B.-.-;B.-.-.B.B.-.-.B.B.-.-;B.-.-.B.B.B.B.-.B.-.-;B.-.-.-.-.-.B.-.B.-.-;B.-.-.-.-.-.-.-.B.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,5.657577319177793,CC(=O)C1=C(O)C(=O)N(CCc2c[nH]c3ccccc23)C1c1ccc(O)cc1,CC(=O)C1=C(O)C(=O)N(CCc2c[nH]c3ccccc23)C1c1ccc(O)cc1
6,7,B.-.-.-.-.-.-.-.-.-.-;B.B.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;-.H(d1).-.-.H(d1).-.-.-.-.-.-;B.B.-.-.-.-.-.-.B.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.B.-.-.-.-.-.-.-.-.-;B.-.-.-.B.B.B.-.B.B.-;B.B.-.-.B.B.B.B.B.B.B;-.-.-.-.-.-.-.-.-.-.-;B.B.-.-.-.-.-.-.-.-.-;B.B.B.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.B.B.-.B.B.-.-.B.B.-;B.B.-.-.-.-.-.B.-.-.-;[BC(t)].[BC(p)].-.-.C(p).C(p).C(p).[BC(p)].[BC(p)].C(p).[BC(p)];-.-.-.-.B.-.-.B.B.B.B;-.-.-.-.-.-.-.-.-.-.-;B.-.B.B.B.-.-.B.-.-.-;B.-.-.B.B.-.-.B.B.-.-;[BC(t)].C(p).C(p).-.B.-.-.B.-.-.-;C(t).C(p).C(p).B.-.-.B.B.B.B.B;[C(t)H(a3)].C(p).C(p).-.-.-.-.-.-.-.-;C(t).[BC(p)].C(p).-.B.-.-.B.-.-.-;B.B.B.B.B.-.B.-.B.B.-;B.B.B.B.B.-.-.-.B.-.-;B.B.B.B.-.-.B.B.-.-.B;B.B.B.B.B.-.-.B.-.-.-;[BC(t)].C(p).C(p).-.B.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,5.376750709602099,CCOc1ccc(C2C(C(C)=O)=C(O)C(=O)N2CCc2c[nH]c3ccccc23)cc1,CCOc1ccc(C2C(C(C)=O)=C(O)C(=O)N2CCc2c[nH]c3ccccc23)cc1
7,8,B.-.-.-.-.B.-.-.-.-.-;B.-.-.-.B.B.-.-.-.-.-;B.-.B.-.B.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.B.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.B.B.-.B.-.B.-.-.B.B;B.B.B.-.B.-.B.B.-.-.B;B.-.-.-.-.-.B.-.-.-.B;H(a3).H(d2).H(d1).-.H(d1).H(d2).-.-.-.-.-;B.-.-.B.-.-.-.-.-.-.B;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.B.-.B.B.B.-.-;B.B.B.B.B.B.B.B.-.B.-;-.-.-.-.-.-.-.-.-.-.-;B.B.-.-.B.B.-.-.-.-.B;B.B.B.-.B.-.-.B.-.B.-;B.B.B.-.B.-.-.-.-.-.-;-.B.B.-.B.B.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.-.B.-.B.B.-.-.-.B.-;B.B.B.-.B.B.-.-.-.B.-;B.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,5.346787486224656,COc1cc(C2C(C(C)=O)=C(O)C(=O)N2CCc2c[nH]c3ccccc23)ccc1O,COc1cc(C2C(C(C)=O)=C(O)C(=O)N2CCc2c[nH]c3ccccc23)ccc1O
8,9,-.-.-.-.-.-.-.-.-.-.-;-.-.-.B.-.-.-.B.-.-.-;B.B.B.B.B.-.B.-.B.B.B;B.B.B.B.-.-.B.B.B.B.-;B.B.B.B.B.B.B.B.-.B.B;B.B.B.B.-.B.B.B.B.B.-;-.-.-.-.-.-.-.-.-.-.-;B.B.B.B.B.B.B.-.B.B.B;B.B.-.B.-.-.-.B.B.-.-;B.-.-.-.-.-.B.B.-.-.-;-.-.-.-.-.-.-.-.-.-.-;C(p).-.C(p).-.C(p).-.[BC(p)].-.-.-.C(e);-.-.C(p).-.C(p).C(p).[BC(p)].-.B.-.C(e);H(a3).-.-.-.-.-.-.-.-.-.H(a2);-.H(a3).H(a3).-.H(a2).H(a3).H(a2).-.-.-.-;-.-.-.-.C(p).-.H(a3).-.-.-.-;[BC(p)].-.C(p).-.C(p).-.C(p).B.-.-.C(e);B.B.-.-.-.B.-.-.-.B.-;B.B.B.-.-.-.-.B.-.-.B;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,7.6595558851598815,CCn1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21,CCn1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21
9,10,-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.B.-.-.C(p);-.B.-.-.-.B.B.B.-.-.C(p);B.B.-.-.-.-.-.-.-.-.C(p);B.B.-.B.B.B.B.B.-.-.-;B.B.B.B.-.-.-.B.-.B.C(p);-.-.-.-.-.-.-.-.-.-.-;B.B.B.B.-.B.-.-.-.B.B;B.-.-.-.-.-.-.-.-.-.-;B.-.-.-.-.B.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;C(t).-.-.-.-.-.-.-.-.-.-;C(t).-.-.-.B.-.-.B.-.B.-;-.-.-.-.-.-.-.-.-.-.-;H(a2).-.-.-.-.-.-.-.-.-.-;C(e).-.-.-.-.-.-.-.-.-.-;C(t).-.-.-.-.-.-.B.-.-.B;B.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;B.B.B.-.-.-.-.B.-.B.B;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-;-.-.-.-.-.-.-.-.-.-.-,7.910094888560602,CC(C)n1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21,CC(C)n1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21
